"","space","transit","access","house_rules","host_since","host_about","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","zipcode","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"634","1","1","1","1","2012","1","1",1,"1",1,"75020",48.8666373013425,2.38658546487821,"2","1","1","1",280,50,400,0,"2",0,4,30,82,92,9,9,10,10,9,9,"1","0",1.26,0.4368,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","1","0","1","0","0","1","1","0","1","0","89.7344","609476.0448",655.2
"635","1","1","1","1","2010","1","0",2,"1",1,"75018",48.8851097681421,2.33991676031539,"3","1","0","1",215,105,500,35,"2",25,2,1125,165,92,10,9,10,10,10,9,"1","0",2.65,0.918666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","68.9032","511261.744",2893.8
"636","1","1","1","1","2013","1","0",3,"1",1,"75019",48.8776149059602,2.37743057073555,"2","1","1","1",388,62,150,30,"2",0,2,32,38,89,9,9,9,10,9,9,"1","0",0.58,0.201066666666667,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","0","1","0","0","1","124.34624","809120.98368",373.984000000001
"637","1","0","0","0","2013","1","0",1,"1",1,"75005",48.8513009930267,2.34606946460408,"2","1","1","1",538,150,500,0,"2",75,3,40,84,93,10,9,9,9,10,9,"0","0",1.29,0.4472,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0","0","1","1","1","0","0","1","0","172.41824","1866944.70272",2012.4
"638","1","0","0","0","2013","1","0",1,"1",0,"75006",48.8480103531373,2.3409560034902,"4","1","3","3",1023,205,500,70,"4",0,7,30,7,97,10,9,10,10,10,9,"0","0",0.11,0.0381333333333333,"1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","327.85104","4079122.63968",234.52
"639","1","1","1","1","2013","1","0",1,"1",0,"75009",48.8800494994891,2.33995863114011,"3","1","1","2",398,129,0,48,"2",10,2,1125,30,98,10,9,10,10,10,9,"0","0",0.68,0.235733333333333,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","1","0","0","1","1","1","1","0","1","1","127.55104","1107398.12928",912.287999999999
"640","1","1","1","1","2011","1","0",1,"1",1,"75006",48.841965382334,2.33477542955403,"2","1","1","1",377,42,0,20,"2",0,1,30,20,94,10,9,10,10,10,10,"0","0",0.34,0.117866666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","1","0","1","1","0","1","0","120.82096","1503254.38432",148.512
"641","1","1","1","0","2013","1","0",1,"1",1,"75010",48.8709874188113,2.36108490558514,"3","1","1","2",377,85,400,30,"2",20,2,20,28,90,9,9,10,10,10,9,"0","0",0.42,0.1456,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1","0","0","1","0","1","1","0","1","1","120.82096","932496.16928",371.28
"642","1","1","1","1","2011","1","0",1,"1",0,"75008",48.8814967954885,2.32359406578296,"4","1","2","2",646,160,200,40,"4",20,5,30,32,99,10,10,10,10,10,10,"1","0",0.86,0.298133333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","207.03008","2228057.72096",1431.04
"643","1","1","0","1","2013","1","0",1,"1",1,"75018",48.8851860266442,2.36276289281833,"4","1","1","2",538,60,500,30,"2",10,3,1125,16,95,10,10,10,10,8,9,"0","0",0.25,0.0866666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","172.41824","1279343.3408",156
